@id,@type,@lat,@lon,name,voltage,operator,substation
655826994,way,33.8471682,-118.2914464,LADWP Distributing Station No. 105,34500;4800,Los Angeles Department of Water and Power,distribution
655830785,way,34.2227253,-118.3885787,DISTRIBUTING STATION 67,34500;4800,Los Angeles Department of Water and Power,distribution
655831419,way,34.2290209,-118.5985869,DISTRIBUTING STATION 74,34500;4800,Los Angeles Department of Water and Power,distribution
662572163,way,37.8004402,-122.2419727,8th Ave Substation,,Pacific Gas and Electric Company,substation
674705026,way,35.9404041,-115.1186457,Bicentennial Substation,138000,NV Energy,
676714269,way,33.8530413,-118.1666446,Sunnyside Substation,66000,,
677345394,way,32.4919645,-116.9447665,CFE,,Comisión Federal de Electricidad,
681536623,way,37.9047609,-122.0609909,Walnut Creek Substation,12000;4000,Pacific Gas and Electric Company,distribution
688096231,way,37.4033888,-121.9059343,Montague Substation,115000,Pacific Gas and Electric Company,minor_distribution
689360657,way,32.6005269,-114.7360511,Laguna Substation,69000,,distribution
689408573,way,40.8592127,-121.7529606,Carberry Switching Station,230000,Pacific Gas and Electric Company,generation
689414801,way,40.8902602,-121.7969002,Hatchet Ridge Collector Substation,230000,,generation
691497714,way,35.2371362,-118.0545653,Barren Ridge Switching Station,230000,Los Angeles Department of Water and Power,transmission
700974838,way,39.5751281,-119.5303433,Newton Substation,120000,NV Energy,transmission
700974840,way,39.5697283,-119.5401518,Apple Data Center,120000,NV Energy,industrial
710704326,way,41.5850267,-117.8489182,Orovada Substation,,,
711541435,way,40.7180012,-122.9343909,Trinity Substation,115000,Pacific Gas and Electric Company,distribution
713948718,way,37.7561118,-121.4168439,Ladrino Foods,115000,,industrial
722835502,way,34.1580226,-118.2671150,Fremont Substation,,Southern California Edison,
723912823,way,38.2834889,-118.0195419,Candelaria,,,transmission
727674147,way,39.2086928,-121.3030354,Smartsville Substation,60000,Pacific Gas and Electric,distribution
731998899,way,37.8761070,-122.2457737,Grizzly Substation,115000,,
733171758,way,32.9805965,-117.2555556,Del Mar Substation,69000,San Diego Gas & Electric,distribution
733742943,way,33.2533269,-117.0858841,Lilac Substation,69000,San Diego Gas & Electric,
734084456,way,34.1928918,-118.9195159,Pharmacy Substation,66000,Amgen,industrial
734085311,way,33.9699978,-117.7742754,Mesa-Mira Loma western transition station,500000,Southern California Edison,transition
734085313,way,33.9867187,-117.7143574,Mesa-Mira Loma eastern transition station,500000,Southern California Edison,transition
737372047,way,37.5250772,-122.3563049,Hillsdale Junction,60000,,
740851418,way,38.4532010,-122.7442881,Monroe Substation,,Pacific Gas and Electric Company,
741753437,way,37.4229452,-122.0784848,Central Utility Plant,,,yes
746635519,way,41.9252197,-124.1394248,Morrison Creek Substation,69000,,
746876900,way,38.4900526,-122.6661381,Rincon Substation,115000,Pacific Gas and Electric Company,distribution
746876905,way,38.5920750,-122.5785818,Calistoga Substation,60000;12000,Pacific Gas and Electric Company,distribution
746982434,way,35.9686432,-115.1666938,Keehn Substation,138000,NV Energy,
756109651,way,41.7331395,-120.3668890,Davis Creek Substation,115000,,
756396718,way,41.5642140,-120.4138182,Cedarville Junction Substation,115000;69000,,
756396726,way,41.5315452,-120.1820345,Cedarville Substation,69000,,
757812163,way,37.9021481,-122.2966647,Fairmount Substation,,Pacific Gas and Electric,
761043373,way,35.6008203,-119.4375390,Semitropic Substation,115000,,
770782288,way,34.4386277,-118.5152155,Haskell Substation,66000,Southern California Edison,substation
771716879,way,32.9049184,-117.1731632,Mesa Rim Substation,69000,San Diego Gas & Electric,distribution
785309456,way,34.1055821,-118.3587663,Nichols Canyon,230000,Los Angeles Department of Water and Power,transition
786268795,way,38.6560394,-121.3361806,Arcade Creek substation,69000,Sacramento Municipal Utility District,minor_distribution
807379856,way,37.4616278,-122.2773497,Emerald Lake Substation,,Pacific Gas and Electric Company,distribution
821245520,way,37.6096867,-120.8467609,Tuolumne Substation,115000,Turlock Irrigation District,distribution
821247255,way,37.6272067,-120.9349217,Mariposa Station,,Modesto Irrigation District,
825203501,way,39.5059909,-116.8591415,Frontier Substation,230000,,transmission
826588505,way,38.3840599,-121.3803156,S-142,,SASD,
828024039,way,36.1094710,-119.5576041,Corcoran Substation,115000,Pacific Gas and Electric Company,
828024040,way,36.1386226,-119.5764766,Waukena Substation,115000,,
830711016,way,36.2044947,-116.1136254,Charleston Park Substation,138000,,
830711017,way,36.1324520,-115.9499389,Thousandaire Substation,138000,,
837863258,way,37.7555913,-121.1463770,Ripon Substation,115000,Pacific Gas and Electric Company,distribution
842021525,way,37.4155805,-122.0637752,N-221C,115000,,
842021526,way,37.4167683,-122.0631577,N-225,115000,,
844590130,way,40.8156886,-116.4950334,Falcon Substation,345000;120000,,distribution
844837079,way,33.3874614,-117.5824449,Basilone Substation,,,
849561013,way,33.5581488,-116.6397669,Tony Lappos Substation,34000,Anza Electric Cooperative,
